"";"anime_id";"name";"genre";"type";"episodes";"rating";"members"
"25";164;"Mononoke Hime";"Action, Adventure, Fantasy";"Movie";"1";8,81;339556
"26";7311;"Suzumiya Haruhi no Shoushitsu";"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural";"Movie";"1";8,81;240297
"27";17074;"Monogatari Series: Second Season";"Comedy, Mystery, Romance, Supernatural, Vampire";"TV";"26";8,8;205959
"28";21939;"Mushishi Zoku Shou";"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural";"TV";"10";8,8;101351
"29";457;"Mushishi";"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural";"TV";"26";8,78;300030
"30";2001;"Tengen Toppa Gurren Lagann";"Action, Adventure, Comedy, Mecha, Sci-Fi";"TV";"27";8,78;562962
"31";245;"Great Teacher Onizuka";"Comedy, Drama, School, Shounen, Slice of Life";"TV";"43";8,77;268487
"32";32983;"Natsume Yuujinchou Go";"Drama, Fantasy, Shoujo, Slice of Life, Supernatural";"TV";"13";8,76;38865
"33";5258;"Hajime no Ippo: New Challenger";"Comedy, Drama, Shounen, Sports";"TV";"26";8,75;88995
"34";28957;"Mushishi Zoku Shou: Suzu no Shizuku";"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural";"Movie";"1";8,75;32266
"35";11665;"Natsume Yuujinchou Shi";"Drama, Fantasy, Shoujo, Slice of Life, Supernatural";"TV";"13";8,75;98431
"36";431;"Howl no Ugoku Shiro";"Adventure, Drama, Fantasy, Romance";"Movie";"1";8,74;333186
"37";11741;"Fate/Zero 2nd Season";"Action, Fantasy, Supernatural, Thriller";"TV";"12";8,73;340973
"38";31757;"Kizumonogatari II: Nekketsu-hen";"Action, Mystery, Supernatural, Vampire";"Movie";"1";8,73;34347
"39";19;"Monster";"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller";"TV";"74";8,72;247562
"40";12365;"Bakuman. 3rd Season";"Comedy, Drama, Romance, Shounen";"TV";"25";8,71;133620
"41";1535;"Death Note";"Mystery, Police, Psychological, Supernatural, Thriller";"TV";"37";8,71;1013917
"42";32366;"Gintama°: Aizome Kaori-hen";"Comedy, Parody";"OVA";"2";8,69;16947
"43";30654;"Ansatsu Kyoushitsu (TV) 2nd Season";"Action, Comedy, School, Shounen";"TV";"25";8,68;176475
"44";20583;"Haikyuu!!";"Comedy, Drama, School, Shounen, Sports";"TV";"25";8,68;284498
"45";19647;"Hajime no Ippo: Rising";"Comedy, Drama, Shounen, Sports";"TV";"25";8,68;66756
"46";4282;"Kara no Kyoukai 5: Mujun Rasen";"Action, Drama, Mystery, Romance, Supernatural, Thriller";"Movie";"1";8,68;111074
"47";10379;"Natsume Yuujinchou San";"Drama, Fantasy, Shoujo, Slice of Life, Supernatural";"TV";"13";8,67;102322
"48";22135;"Ping Pong The Animation";"Psychological, Seinen, Sports";"TV";"11";8,67;97187
"49";21329;"Mushishi Special: Hihamukage";"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural";"Special";"1";8,66;49036
"50";31043;"Boku dake ga Inai Machi";"Mystery, Psychological, Seinen, Supernatural";"TV";"12";8,65;402381
"51";7785;"Yojouhan Shinwa Taikei";"Mystery, Psychological, Romance";"TV";"11";8,65;122531
"52";3297;"Aria The Origination";"Fantasy, Sci-Fi, Shounen, Slice of Life";"TV";"13";8,64;56162
"53";30709;"Kamisama Hajimemashita: Kako-hen";"Comedy, Demons, Fantasy, Shoujo, Supernatural";"OVA";"4";8,64;33422
"54";6114;"Rainbow: Nisha Rokubou no Shichinin";"Drama, Historical, Seinen, Thriller";"TV";"26";8,64;139474
"55";31240;"Re:Zero kara Hajimeru Isekai Seikatsu";"Drama, Fantasy, Psychological, Thriller";"TV";"25";8,64;355839
"56";4565;"Tengen Toppa Gurren Lagann Movie: Lagann-hen";"Action, Mecha, Sci-Fi, Space, Super Power";"Movie";"1";8,64;82253
"57";5300;"Zoku Natsume Yuujinchou";"Drama, Fantasy, Shoujo, Slice of Life, Supernatural";"TV";"13";8,64;114173
"58";9989;"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.";"Drama, Slice of Life, Supernatural";"TV";"11";8,62;463835
"59";24415;"Kuroko no Basket 3rd Season";"Comedy, School, Shounen, Sports";"TV";"25";8,62;184525
"60";11577;"Steins;Gate Movie: Fuka Ryouiki no Déjà vu";"Sci-Fi, Thriller";"Movie";"1";8,61;192424
"61";10408;"Hotarubi no Mori e";"Drama, Romance, Shoujo, Supernatural";"Movie";"1";8,61;197439
"63";32995;"Yuri!!! on Ice";"Comedy, Sports";"TV";"12";8,61;103178
"64";21899;"Gintama: Yorinuki Gintama-san on Theater 2D";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"Movie";"2";8,6;11104
"65";26055;"JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season";"Action, Adventure, Drama, Shounen, Supernatural";"TV";"24";8,6;93657
"66";7472;"Gintama Movie: Shinyaku Benizakura-hen";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"Movie";"1";8,59;51185
"67";777;"Hellsing Ultimate";"Action, Horror, Military, Seinen, Supernatural, Vampire";"OVA";"10";8,59;297454
"68";22535;"Kiseijuu: Sei no Kakuritsu";"Action, Drama, Horror, Psychological, Sci-Fi, Seinen";"TV";"24";8,59;425457
"69";28735;"Shouwa Genroku Rakugo Shinjuu";"Drama, Historical, Josei";"TV";"13";8,59;71295
"70";12431;"Uchuu Kyoudai";"Comedy, Sci-Fi, Seinen, Slice of Life, Space";"TV";"99";8,59;72958
"71";28805;"Bakemono no Ko";"Adventure, Supernatural";"Movie";"1";8,58;80825
"72";578;"Hotaru no Haka";"Drama, Historical";"Movie";"1";8,58;174878
"73";16894;"Kuroko no Basket 2nd Season";"Comedy, School, Shounen, Sports";"TV";"25";8,58;243325
"74";5028;"Major S5";"Comedy, Drama, Romance, Sports";"TV";"25";8,58;28653
"75";21;"One Piece";"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power";"TV";"Unknown";8,58;504862
"76";801;"Ghost in the Shell: Stand Alone Complex 2nd GIG";"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen";"TV";"26";8,57;113993
"77";31933;"JoJo no Kimyou na Bouken: Diamond wa Kudakenai";"Action, Adventure, Comedy, Drama, Shounen, Supernatural";"TV";"39";8,57;74074
"78";5205;"Kara no Kyoukai 7: Satsujin Kousatsu (Kou)";"Action, Mystery, Romance, Supernatural, Thriller";"Movie";"1";8,57;95658
"79";17389;"Kingdom 2nd Season";"Action, Historical, Military, Seinen";"TV";"39";8,57;31234
"80";170;"Slam Dunk";"Comedy, Drama, School, Shounen, Sports";"TV";"101";8,56;82570
"81";10162;"Usagi Drop";"Josei, Slice of Life";"TV";"11";8,56;194855
"82";18617;"Girls und Panzer der Film";"Military, School";"Movie";"1";8,55;25641
"83";32182;"Mob Psycho 100";"Action, Comedy, Slice of Life, Supernatural";"TV";"12";8,55;193716
"84";877;"Nana";"Comedy, Drama, Music, Romance, Shoujo, Slice of Life";"TV";"47";8,55;197256
"85";2251;"Baccano!";"Action, Comedy, Historical, Mystery, Seinen, Supernatural";"TV";"13";8,54;363215
"86";24687;"Mushishi Zoku Shou: Odoro no Michi";"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural";"Special";"1";8,54;34011
"87";16498;"Shingeki no Kyojin";"Action, Drama, Fantasy, Shounen, Super Power";"TV";"25";8,54;896229
"88";10030;"Bakuman. 2nd Season";"Comedy, Drama, Romance, Shounen";"TV";"25";8,53;151561
"89";5941;"Cross Game";"Comedy, Drama, Romance, School, Sports";"TV";"50";8,53;53108
"90";30346;"Doukyuusei (Movie)";"Romance, School, Shounen Ai, Slice of Life";"Movie";"1";8,53;28864
"91";3784;"Evangelion: 2.0 You Can (Not) Advance";"Action, Mecha, Sci-Fi";"Movie";"1";8,53;182224
"92";13125;"Shinsekai yori";"Drama, Horror, Mystery, Sci-Fi, Supernatural";"TV";"25";8,53;288376
"93";12029;"Uchuu Senkan Yamato 2199";"Action, Drama, Military, Sci-Fi, Space";"OVA";"26";8,53;44223
"94";14397;"Chihayafuru 2";"Drama, Game, Josei, Slice of Life, Sports";"TV";"25";8,52;86074
"95";10087;"Fate/Zero";"Action, Fantasy, Supernatural";"TV";"13";8,51;453630
"96";14719;"JoJo no Kimyou na Bouken (TV)";"Action, Adventure, Shounen, Supernatural, Vampire";"TV";"26";8,51;190197
"97";9756;"Mahou Shoujo Madoka?Magica";"Drama, Magic, Psychological, Thriller";"TV";"12";8,51;462974
"98";10165;"Nichijou";"Comedy, School, Slice of Life";"TV";"26";8,52;254436
"99";13601;"Psycho-Pass";"Action, Police, Psychological, Sci-Fi";"TV";"22";8,5;509109
"100";22789;"Barakamon";"Comedy, Slice of Life";"TV";"12";8,5;225927
"101";30230;"Diamond no Ace: Second Season";"Comedy, School, Shounen, Sports";"TV";"51";8,5;38531
"102";18115;"Magi: The Kingdom of Magic";"Action, Adventure, Fantasy, Magic, Shounen";"TV";"25";8,5;245026
"103";11981;"Mahou Shoujo Madoka?Magica Movie 3: Hangyaku no Monogatari";"Drama, Magic, Psychological, Thriller";"Movie";"1";8,5;135735
"104";11917;"Major: World Series";"Comedy, Drama, Sports";"OVA";"2";8,5;13405
"105";205;"Samurai Champloo";"Action, Adventure, Comedy, Historical, Samurai, Shounen";"TV";"26";8,5;390076
"107";6594;"Katanagatari";"Action, Adventure, Historical, Martial Arts, Romance";"TV";"12";8,49;207241
"108";11979;"Mahou Shoujo Madoka?Magica Movie 2: Eien no Monogatari";"Drama, Magic, Psychological, Thriller";"Movie";"1";8,49;85361
"109";7655;"Major S6";"Comedy, Drama, Sports";"TV";"25";8,49;24788
"110";2246;"Mononoke";"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural";"TV";"12";8,49;88850
"111";25835;"Shirobako";"Comedy, Drama";"TV";"24";8,49;146895
"112";2921;"Ashita no Joe 2";"Drama, Sports";"TV";"47";8,48;6259
"113";136;"Hunter x Hunter";"Action, Adventure, Shounen, Super Power";"TV";"62";8,48;166255
"114";30503;"Noragami Aragoto";"Action, Adventure, Shounen, Supernatural";"TV";"13";8,48;299434
"115";12531;"Sakamichi no Apollon";"Drama, Josei, Music, Romance, School";"TV";"12";8,48;146592
"116";523;"Tonari no Totoro";"Adventure, Comedy, Supernatural";"Movie";"1";8,48;271484
"117";467;"Ghost in the Shell: Stand Alone Complex";"Action, Mecha, Military, Police, Sci-Fi, Seinen";"TV";"26";8,47;194491
"118";572;"Kaze no Tani no Nausicaä";"Adventure, Fantasy";"Movie";"1";8,47;143273
"120";2559;"Romeo no Aoi Sora";"Adventure, Drama, Historical, Slice of Life";"TV";"33";8,47;15074
"121";392;"Yuu?Yuu?Hakusho";"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen";"TV";"112";8,47;195017
"122";486;"Kino no Tabi: The Beautiful World";"Action, Adventure, Slice of Life";"TV";"13";8,46;102822
"123";11771;"Kuroko no Basket";"Comedy, School, Shounen, Sports";"TV";"25";8,46;338315
"124";1698;"Nodame Cantabile";"Comedy, Drama, Josei, Music, Romance, Slice of Life";"TV";"23";8,46;157025
"125";5341;"Ookami to Koushinryou II";"Adventure, Fantasy, Historical, Romance";"TV";"12";8,46;210491
"126";25781;"Shingeki no Kyojin: Kuinaki Sentaku";"Action, Fantasy, Shoujo, Supernatural";"OVA";"2";8,45;92543
"127";10863;"Steins;Gate: Oukoubakko no Poriomania";"Sci-Fi, Thriller";"Special";"1";8,46;159548
"128";28701;"Fate/stay night: Unlimited Blade Works 2nd Season";"Action, Fantasy, Magic, Shounen, Supernatural";"TV";"13";8,45;205987
"129";5420;"Kemono no Souja Erin";"Drama, Fantasy";"TV";"50";8,45;36751
"130";9260;"Kizumonogatari I: Tekketsu-hen";"Mystery, Supernatural, Vampire";"Movie";"1";8,45;99579
"131";32;"Neon Genesis Evangelion: The End of Evangelion";"Dementia, Drama, Mecha, Psychological, Sci-Fi";"Movie";"1";8,45;215630
"132";4224;"Toradora!";"Comedy, Romance, School, Slice of Life";"TV";"25";8,45;633817
"133";2236;"Toki wo Kakeru Shoujo";"Adventure, Drama, Romance, Sci-Fi";"Movie";"1";8,44;289206
"134";2685;"Tsubasa: Tokyo Revelations";"Action, Adventure, Drama, Fantasy, Romance, Shounen";"OVA";"3";8,44;57963
"135";31181;"Owarimonogatari";"Comedy, Mystery, Supernatural";"TV";"12";8,43;107855
"136";45;"Rurouni Kenshin: Meiji Kenkaku Romantan";"Action, Adventure, Comedy, Historical, Romance, Samurai";"TV";"94";8,43;218928
"137";2418;"Stranger: Mukou Hadan";"Action, Adventure, Historical, Samurai";"Movie";"1";8,43;125503
"138";1365;"Detective Conan Movie 06: The Phantom of Baker Street";"Adventure, Mystery, Police, Shounen";"Movie";"1";8,42;28462
"139";22297;"Fate/stay night: Unlimited Blade Works";"Action, Fantasy, Magic, Shounen, Supernatural";"TV";"12";8,42;267484
"140";627;"Major S1";"Comedy, Drama, Shounen, Sports";"TV";"26";8,42;41061
"141";10937;"Mobile Suit Gundam: The Origin";"Action, Mecha, Military, Sci-Fi, Shounen, Space";"OVA";"6";8,42;15420
"143";4081;"Natsume Yuujinchou";"Drama, Fantasy, Shoujo, Slice of Life, Supernatural";"TV";"13";8,42;210736
"144";4155;"One Piece Film: Strong World";"Action, Adventure, Comedy, Drama, Fantasy, Shounen";"Movie";"1";8,42;85020
"145";1889;"Higurashi no Naku Koro ni Kai";"Mystery, Psychological, Supernatural, Thriller";"TV";"24";8,41;218101
"146";137;"Hunter x Hunter OVA";"Action, Adventure, Shounen, Super Power";"OVA";"8";8,41;53168
"147";139;"Hunter x Hunter: Greed Island Final";"Action, Adventure, Shounen, Super Power";"OVA";"14";8,41;55787
"148";23317;"Kuroshitsuji: Book of Murder";"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural";"OVA";"2";8,41;67261
"149";558;"Major S2";"Comedy, Drama, Shounen, Sports";"TV";"26";8,41;30689
"150";5040;"One Outs";"Psychological, Seinen, Sports";"TV";"25";8,41;83056
"151";57;"Beck";"Comedy, Drama, Music, Shounen, Slice of Life";"TV";"26";8,4;148328
"152";33;"Berserk";"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural";"TV";"25";8,4;226430
"153";5;"Cowboy Bebop: Tengoku no Tobira";"Action, Drama, Mystery, Sci-Fi, Space";"Movie";"1";8,4;137636
"154";1842;"Major S3";"Drama, Shounen, Sports";"TV";"26";8,4;29528
"155";6336;"Mobile Suit Gundam Unicorn";"Action, Drama, Mecha, Military, Sci-Fi, Space";"OVA";"7";8,4;42076
"156";20651;"Natsume Yuujinchou: Itsuka Yuki no Hi ni";"Drama, Fantasy, Shoujo, Slice of Life, Supernatural";"OVA";"1";8,4;28302
"157";1210;"NHK ni Youkoso!";"Comedy, Drama, Psychological, Romance";"TV";"24";8,4;291228
"158";338;"Rose of Versailles";"Adventure, Drama, Historical, Romance, Shoujo";"TV";"40";8,4;32188
"159";13759;"Sakurasou no Pet na Kanojo";"Comedy, Drama, Romance, School, Slice of Life";"TV";"24";8,4;380375
"160";6547;"Angel Beats!";"Action, Comedy, Drama, School, Supernatural";"TV";"13";8,39;717796
"161";5081;"Bakemonogatari";"Mystery, Romance, Supernatural, Vampire";"TV";"15";8,39;482268
"162";32867;"Bungou Stray Dogs 2nd Season";"Mystery, Seinen, Supernatural";"TV";"12";8,39;83641
"163";264;"Hajime no Ippo: Champion Road";"Comedy, Shounen, Sports";"Special";"1";8,39;47840
"164";12859;"One Piece Film: Z";"Action, Adventure, Comedy, Drama, Fantasy, Shounen";"Movie";"1";8,39;76051
"165";853;"Ouran Koukou Host Club";"Comedy, Harem, Romance, School, Shoujo";"TV";"26";8,39;422271
"166";5460;"Detective Conan Movie 13: The Raven Chaser";"Action, Mystery, Police, Shounen";"Movie";"1";8,38;21798
"167";6746;"Durarara!!";"Action, Mystery, Supernatural";"TV";"24";8,38;556431
"168";5690;"Nodame Cantabile Finale";"Comedy, Josei, Music, Romance";"TV";"11";8,38;67697
"169";329;"Planetes";"Drama, Romance, Sci-Fi, Seinen, Space";"TV";"26";8,38;105044
"170";34240;"Shelter";"Music, Sci-Fi";"Music";"1";8,38;71136
"171";513;"Tenkuu no Shiro Laputa";"Adventure, Fantasy, Romance, Sci-Fi";"Movie";"1";8,38;151061
"172";6945;"Gintama: Shiroyasha Koutan";"Action, Comedy, Historical, Parody, Sci-Fi";"Special";"1";8,37;27213
"173";1142;"Hachimitsu to Clover II";"Drama, Josei, Romance";"TV";"12";8,37;61493
"174";6811;"InuYasha: Kanketsu-hen";"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural";"TV";"26";8,37;99128
"175";16664;"Kaguya-hime no Monogatari";"Fantasy, Historical";"Movie";"1";8,37;45547
"176";1604;"Katekyo Hitman Reborn!";"Action, Comedy, Shounen, Super Power";"TV";"203";8,37;258103
"177";22145;"Kuroshitsuji: Book of Circus";"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural";"TV";"10";8,37;122895
"178";2966;"Ookami to Koushinryou";"Adventure, Fantasy, Historical, Romance";"TV";"13";8,37;334932
"179";31964;"Boku no Hero Academia";"Action, Comedy, School, Shounen, Super Power";"TV";"13";8,36;282002
"180";19363;"Gin no Saji 2nd Season";"Comedy, School, Shounen, Slice of Life";"TV";"11";8,36;67032
"181";18195;"Little Busters!: Refrain";"Comedy, Drama, Romance, School, Slice of Life, Supernatural";"TV";"13";8,36;71820
"182";9890;"Major: Message";"Comedy, Drama, Sports";"OVA";"1";8,36;12282
"183";9130;"Saint Seiya: The Lost Canvas - Meiou Shinwa 2";"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural";"OVA";"13";8,36;27532
"184";9863;"SKET Dance";"Comedy, School, Shounen";"TV";"77";8,36;101027
"185";7674;"Bakuman.";"Comedy, Romance, Shounen";"TV";"25";8,35;246899
"186";11843;"Danshi Koukousei no Nichijou";"Comedy, School, Shounen, Slice of Life";"TV";"12";8,35;258914
"187";16782;"Kotonoha no Niwa";"Drama, Psychological, Romance, Slice of Life";"Movie";"1";8,35;189741
"188";28675;"Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen";"Fantasy, Slice of Life, Supernatural";"Movie";"1";8,35;59815
"189";3226;"Major S4";"Comedy, Drama, Shounen, Sports";"TV";"26";8,35;28002
"190";21557;"Omoide no Marnie";"Drama, Mystery, Psychological";"Movie";"1";8,35;53590
"191";31715;"Working!!!: Lord of the Takanashi";"Comedy, Romance, Slice of Life";"Special";"1";8,34;31856
"192";43;"Ghost in the Shell";"Action, Mecha, Police, Psychological, Sci-Fi, Seinen";"Movie";"1";8,34;223036
"193";9617;"K-On! Movie";"Comedy, Music, Slice of Life";"Movie";"1";8,34;115252
"194";31051;"Kuroko no Basket: Saikou no Present Desu";"Action, School, Shounen, Sports";"Special";"1";8,34;22900
"195";10153;"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s";"Action, Comedy, Drama, Magic, Super Power";"Movie";"1";8,34;13315
"196";1033;"Sennen Joyuu";"Action, Adventure, Drama, Fantasy, Historical, Romance";"Movie";"1";8,34;58492
"197";32188;"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero";"Sci-Fi, Thriller";"Special";"1";8,34;38147
"198";3091;"xxxHOLiC Kei";"Comedy, Drama, Mystery, Psychological, Supernatural";"TV";"13";8,34;74941
"199";12115;"Berserk: Ougon Jidai-hen III - Kourin";"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural";"Movie";"1";8,33;65594
"200";28223;"Death Parade";"Drama, Game, Mystery, Psychological, Thriller";"TV";"12";8,33;383914
"201";121;"Fullmetal Alchemist";"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen";"TV";"51";8,33;600384
"202";3002;"Gyakkyou Burai Kaiji: Ultimate Survivor";"Game, Psychological, Seinen, Thriller";"TV";"26";8,33;98996
"203";138;"Hunter x Hunter: Greed Island";"Action, Adventure, Shounen, Super Power";"OVA";"8";8,33;57029
"204";6675;"Redline";"Action, Cars, Sci-Fi, Sports";"Movie";"1";8,33;109392
"205";10800;"Chihayafuru";"Drama, Game, Josei, Slice of Life, Sports";"TV";"25";8,32;158561
"206";32005;"Detective Conan Movie 20: The Darkest Nightmare";"Action, Mystery, Police, Shounen";"Movie";"1";8,32;6229
"207";813;"Dragon Ball Z";"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power";"TV";"291";8,32;375662
"208";27821;"Fate/stay night: Unlimited Blade Works - Prologue";"Action, Fantasy, Magic, Shounen, Supernatural";"Special";"1";8,32;106382
"209";28725;"Kokoro ga Sakebitagatterunda.";"Drama, Romance, School";"Movie";"1";8,32;59652
"210";585;"Mimi wo Sumaseba";"Adventure, Drama, Fantasy, Romance, Slice of Life";"Movie";"1";8,32;94435
"211";16067;"Nagi no Asukara";"Drama, Fantasy, Romance";"TV";"26";8,32;224947
"212";30;"Neon Genesis Evangelion";"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi";"TV";"26";8,32;461946
"213";31490;"One Piece Film: Gold";"Action, Adventure, Comedy, Drama, Fantasy, Shounen";"Movie";"1";8,32;18642
"214";759;"Tokyo Godfathers";"Comedy, Drama";"Movie";"1";8,32;89424
"215";6;"Trigun";"Action, Comedy, Sci-Fi";"TV";"26";8,32;283069
"216";6864;"xxxHOLiC Rou";"Mystery, Supernatural";"OVA";"2";8,32;36353
"217";9735;"Gintama: Shinyaku Benizakura-hen";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"Special";"1";8,31;14002
"218";11977;"Mahou Shoujo Madoka?Magica Movie 1: Hajimari no Monogatari";"Drama, Magic, Psychological, Thriller";"Movie";"1";8,31;88164
"219";11123;"Sekaiichi Hatsukoi 2";"Comedy, Drama, Romance, Shounen Ai";"TV";"12";8,31;69253
"220";23847;"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku";"Comedy, Drama, Romance, School";"TV";"13";8,31;222994
"221";33161;"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA";"Comedy, Romance, School";"OVA";"1";8,31;35120
"222";962;"Aria The Natural";"Fantasy, Sci-Fi, Shounen, Slice of Life";"TV";"26";8,3;39596
"223";1519;"Black Lagoon: The Second Barrage";"Action, Seinen";"TV";"12";8,3;203233
"224";2167;"Clannad";"Comedy, Drama, Romance, School, Slice of Life, Supernatural";"TV";"23";8,3;566690
"225";16706;"Kami nomi zo Shiru Sekai: Megami-hen";"Comedy, Harem, Romance, Shounen, Supernatural";"TV";"12";8,3;142612
"226";5681;"Summer Wars";"Comedy, Sci-Fi";"Movie";"1";8,3;223359
"227";3901;"Baccano! Specials";"Action, Comedy, Historical, Mystery, Seinen, Supernatural";"Special";"3";8,29;100412
"228";6467;"Detective Conan Movie 14: The Lost Ship in the Sky";"Action, Mystery, Police, Shounen";"Movie";"1";8,29;20602
"229";10271;"Gyakkyou Burai Kaiji: Hakairoku-hen";"Game, Psychological, Seinen, Thriller";"TV";"26";8,29;55566
"230";22507;"Initial D Final Stage";"Cars, Seinen, Sports";"TV";"4";8,29;19702
"231";3701;"Kaiba";"Adventure, Mystery, Romance, Sci-Fi";"TV";"12";8,29;56927
"232";19123;"One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari";"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power";"Special";"1";8,29;17247
"233";33255;"Saiki Kusuo no ?-nan (TV)";"Comedy, School, Shounen, Supernatural";"TV";"120";8,29;47092
"234";372;"Cardcaptor Sakura Movie 2: Fuuin Sareta Card";"Comedy, Drama, Fantasy, Magic, Romance, Shoujo";"Movie";"1";8,28;60637
"235";265;"Hajime no Ippo: Mashiba vs. Kimura";"Comedy, Shounen, Sports";"OVA";"1";8,28;40623
"236";25681;"Kamisama Hajimemashita?";"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural";"TV";"12";8,28;91796
"237";4722;"Skip Beat!";"Comedy, Drama, Romance, Shoujo";"TV";"25";8,28;134818
"238";24277;"Yowamushi Pedal: Grande Road";"Comedy, Drama, Shounen, Sports";"TV";"24";8,28;50778
"239";239;"Gankutsuou";"Drama, Mystery, Sci-Fi, Supernatural, Thriller";"TV";"24";8,27;103828
"240";512;"Majo no Takkyuubin";"Adventure, Comedy, Drama, Fantasy, Magic, Romance";"Movie";"1";8,27;152331
"241";4477;"Nodame Cantabile: Paris-hen";"Comedy, Josei, Music, Romance, Slice of Life";"TV";"11";8,27;70822
